80 00 54 25 19 25 81 21 02 78
29 09 89 77 80 75 91 34 61 24
26 42 65 18 81 93 72 34 59 37
20 56 17 24 47 02 35 45 19 51
56 28 10 23 03 32 65 61 28 95
46 63 94 42 77 64 56 80 63 14
77 07 34 93 04 19 10 44 76 19
86 88 40 47 13 94 98 22 79 94
68 37 41 12 06 85 51 85 60 56
13 95 29 05 60 15 98 86 04 61
77 51 28 24 77 02 36 64 32 05
30 73 42 75 14 85 72 60 91 42
83 46 63 67 90 48 04 74 41 52
62 37 49 71 41 38 80 60 99 05
19 78 83 98 11 30 41 72 09 31
31 64 21 79 68 97 32 13 62 80
61 69 22 25 62 12 83 35 56 19
62 74 27 19 41 35 38 16 09 80
47 44 15 30 84 53 28 42 07 65
29 30 00 91 26 09 91 70 21 14
